"label" "value"
1 10.001231
2 10.136103
3 10.02768
4 10.230142
6 9.870666
7 10.41181
8 9.989297
9 10.21245
10 10.260695
11 10.053222
15 9.88436
16 10.028084
17 9.961651
18 9.973667
19 10.072783
31 9.907545
32 9.940028
44 10.000724
47 9.66904
48 9.807943
49 9.784914
50 9.931501
55 9.755986
56 9.762663
60 9.605772
64 9.906336
65 9.975073
66 10.038703
67 9.954246
68 10.008209
75 9.828254
76 9.851085
77 9.948185
78 9.986115
79 9.978179
83 9.800738
84 9.681764
85 10.070385
86 9.861278
87 10.038579
88 9.768813
89 9.947484
90 9.557878
96 10.025761
100 9.701228
101 9.759621
102 9.75035
103 10.055289
104 10.139433
105 9.993896
106 10.367849
107 9.826122
108 10.233925
109 10.370438
110 10.056597
111 10.127113
116 9.912239
117 9.965898
118 9.888231
119 10.02842
120 9.923321
121 9.934465
135 9.916634
136 10.027398
147 10.01054
148 10.026164
149 10.04142
152 9.740231
153 9.819473
154 9.902556
155 9.842204
159 9.909244
160 9.789633
161 10.033838
168 9.92304
169 9.813119
170 10.047044
171 10.063848
172 10.066499
186 9.835815
187 9.845874
188 9.914567
189 9.970425
190 9.998513
191 9.791026
192 9.775188
193 9.457956
198 9.974892
4101 8.935184
4102 8.935657
4111 9.428129
4112 9.523388
4201 8.738227
4202 8.789765
7001 8.344265
7002 8.532023
7011 8.595654
7012 8.789742
7021 8.701423
7022 8.750647
7101 9.354672
7102 9.069835
