"label" "value"
1 9.891657
2 9.725229
3 9.98595
4 10.019275
5 10.154607
6 10.106268
7 9.733091
8 10.044175
9 10.203992
10 10.113316
11 10.356897
13 9.824169
14 10.194368
15 10.381759
16 10.077784
17 10.004301
18 10.460394
19 10.192208
20 9.959818
21 10.350211
22 10.120407
23 10.015439
26 10.106768
32 9.914718
33 10.022945
34 9.944274
35 9.835724
36 10.02404
37 10.002827
38 10.054561
39 10.013625
40 9.974091
41 10.074874
42 10.060613
43 10.04451
69 9.908805
70 9.913272
71 9.945315
72 9.979801
90 10.017149
92 10.02088
96 9.964573
97 9.635366
98 9.647039
99 9.85639
100 9.72046
101 9.785461
102 9.73979
103 9.851894
104 9.908825
105 9.953747
114 9.716844
115 9.769588
116 9.882773
117 9.576483
123 9.699936
126 9.622916
133 9.918003
134 9.900488
135 10.043077
136 10.07852
137 9.974496
138 9.978431
139 10.000976
143 9.70197
150 9.844395
151 9.875087
152 9.85094
153 9.796351
154 9.96445
155 9.897613
156 9.955097
157 10.001739
158 9.978129
159 9.976457
160 9.989464
166 9.831248
167 10.049349
168 9.869967
169 9.668158
170 10.075598
171 9.900901
172 10.049361
173 9.926976
174 9.771557
175 10.033159
176 9.933122
177 9.556152
190 10.023309
191 10.040489
192 10.045967
193 10.042286
201 9.758217
202 9.684161
203 9.935499
204 10.024318
205 9.940178
206 10.140641
207 9.752763
208 10.255406
209 9.934761
210 10.090012
211 10.296965
212 10.005532
213 10.260736
214 9.807881
215 10.431112
216 10.025579
217 9.796885
218 10.205428
219 10.352862
220 10.043563
221 10.293743
222 10.114561
223 10.317956
224 10.166026
231 9.850943
232 9.909695
233 9.916312
234 9.873052
235 9.84254
236 9.935918
237 9.986777
238 10.012671
239 9.928635
240 10.033598
241 9.904849
242 9.924171
243 10.015869
244 9.943821
271 9.911095
272 9.953469
273 10.029407
293 10.007926
294 10.016323
295 10.0507
296 10.049947
297 10.06065
298 10.016916
302 9.728834
303 9.802607
304 9.765518
305 9.764953
306 9.905096
307 9.822566
308 9.874329
309 9.984836
319 9.785226
320 9.789775
321 9.960162
322 10.017288
323 9.657762
324 10.007577
330 9.742494
331 9.58498
338 9.852254
339 9.928179
340 9.816746
341 10.067837
342 10.073691
343 10.064192
344 10.043242
345 10.072189
346 10.105433
347 10.089842
348 9.984242
360 9.78153
362 10.050383
363 10.090793
368 9.834442
369 9.815869
370 9.841066
371 9.890337
372 9.823779
373 9.986841
374 9.978817
375 9.800908
376 10.007083
377 9.966768
378 10.025883
379 9.814793
380 10.008034
381 9.769807
382 9.929564
383 9.944726
384 9.432854
392 9.979829
393 9.873732
395 9.968618
4101 8.935184
4102 8.935657
4111 9.418151
4112 9.51907
4201 8.738227
4202 8.789765
7001 8.34434
7002 8.532023
7011 8.595654
7012 8.790588
7021 8.701423
7022 8.750647
7101 9.354672
7102 9.069835
