"label" "value"
1 2.491366
2 2.448282
3 2.699177
4 2.621479
5 2.732964
6 2.715123
7 2.515597
8 2.619088
9 2.838491
10 2.734415
11 2.851762
13 2.573985
14 2.725128
15 2.862229
16 2.649726
17 2.531298
18 2.877087
19 2.788281
20 2.539491
21 2.799701
22 2.556649
23 2.639989
26 2.621559
32 2.358595
33 2.439923
34 2.533388
35 2.467824
36 2.573738
37 2.507141
38 2.570058
39 2.423338
40 2.317921
41 2.481454
42 2.300359
43 2.320026
69 2.465581
70 2.4915
71 2.47976
72 2.502586
90 2.42145
92 2.434031
96 2.517735
97 2.260421
98 2.282673
99 2.239428
100 2.416299
101 2.333527
102 2.390036
103 2.217878
104 2.267328
105 2.335581
114 2.125552
115 2.174254
116 2.20344
117 2.164348
123 2.417295
126 2.443204
133 2.473068
134 2.311718
135 2.316171
136 2.293712
137 2.300596
138 2.298676
139 2.3156
143 2.182195
150 2.33698
151 2.427828
152 2.341524
153 2.19158
154 2.48599
155 2.468272
156 2.386229
157 2.492941
158 2.577955
159 2.517322
160 2.524056
166 2.176991
167 2.29366
168 2.353824
169 2.212114
170 2.216913
171 2.350063
172 2.214052
173 2.410267
174 2.244925
175 2.298552
176 2.433222
177 2.138071
190 2.538195
191 2.47716
192 2.467472
193 2.366287
201 2.977273
202 2.96001
203 2.962265
204 2.887132
205 2.949899
206 2.904459
207 2.94594
208 2.918545
209 2.897747
210 2.913333
211 2.910018
212 2.879595
213 2.936366
214 2.884773
215 2.950547
216 2.945137
217 2.821726
218 3.000894
219 2.962773
220 2.926682
221 3.017441
222 3.035538
223 3.009451
224 2.959988
231 2.91348
232 2.917371
233 2.936034
234 2.925947
235 2.896398
236 2.912085
237 2.944644
238 2.91486
239 2.908674
240 2.914508
241 2.925877
242 2.918017
243 2.92728
244 2.94922
271 2.930127
272 2.889242
273 2.946098
293 2.877014
294 2.898771
295 2.93521
296 2.922476
297 2.928005
298 2.946195
302 2.843907
303 2.845827
304 2.894994
305 2.874325
306 2.793053
307 2.867129
308 2.909106
309 2.881094
319 2.489846
320 2.666245
321 2.435078
322 2.67137
323 2.333391
324 2.589726
330 2.911402
331 2.877745
338 2.879836
339 2.879697
340 2.772697
341 2.765586
342 2.820088
343 2.782098
344 2.794037
345 2.803639
346 2.79593
347 2.850267
348 2.806442
360 2.445829
362 2.935073
363 3.036413
368 2.891718
369 2.859865
370 2.893524
371 2.887545
372 2.902992
373 2.884526
374 2.923868
375 2.782257
376 2.799479
377 2.820247
378 2.823156
379 2.424454
380 2.635456
381 2.455216
382 2.548574
383 2.69007
384 2.327265
392 2.81562
393 2.631001
395 2.641371
4101 2.287346
4102 2.936509
4111 2.319005
4112 2.783755
4201 2.094943
4202 2.956349
7001 2.018145
7002 2.672779
7011 2.179887
7012 2.827234
7021 2.00149
7022 2.798285
7101 2.213632
7102 2.826453
