"label" "value"
1 2.61612
2 2.756936
3 2.612368
4 2.787122
6 2.572179
7 2.869108
8 2.517232
9 2.795765
10 2.720522
11 2.6568
15 2.300041
16 2.471562
17 2.533495
18 2.328568
19 2.415459
31 2.481761
32 2.472753
44 2.508914
47 2.327563
48 2.29301
49 2.396005
50 2.300364
55 2.171978
56 2.173996
60 2.232879
64 2.45304
65 2.304465
66 2.3164
67 2.327506
68 2.305651
75 2.346883
76 2.316892
77 2.481356
78 2.53069
79 2.523139
83 2.179651
84 2.211378
85 2.216275
86 2.408874
87 2.26267
88 2.240893
89 2.363602
90 2.109739
96 2.507529
100 2.462223
101 2.95129
102 2.967629
103 2.912142
104 2.899807
105 2.91128
106 2.936637
107 2.869307
108 2.967741
109 2.965671
110 2.928946
111 3.034082
116 2.935183
117 2.93269
118 2.904302
119 2.918645
120 2.916806
121 2.941219
135 2.918043
136 2.950632
147 2.871362
148 2.910161
149 2.920683
152 2.847848
153 2.904073
154 2.783
155 2.87696
159 2.50674
160 2.722692
161 2.663876
168 2.881831
169 2.774668
170 2.795804
171 2.795899
172 2.801755
186 2.885583
187 2.904382
188 2.887755
189 2.920595
190 2.820607
191 2.401207
192 2.460828
193 2.333587
198 2.820142
4101 2.287346
4102 2.936509
4111 2.322709
4112 2.793694
4201 2.094943
4202 2.956349
7001 2.018128
7002 2.672779
7011 2.179887
7012 2.827212
7021 2.00149
7022 2.798285
7101 2.213632
7102 2.826453
