"label" "value"
1 6.822594
2 6.895281
3 6.865362
4 6.939655
5 6.951838
6 6.632445
7 6.831844
8 7.007055
9 6.442543
10 6.853482
11 6.880381
13 6.884246
14 7.076694
15 7.019624
16 6.99829
17 7.017876
18 7.116019
19 7.072132
20 6.940048
21 7.090852
22 7.031635
23 7.032604
26 7.066733
32 6.914401
33 6.953053
34 6.912199
35 6.912478
36 6.958575
37 7.016469
38 7.001834
39 6.923856
40 6.936333
41 6.957593
42 6.952282
43 6.933284
69 6.992293
70 6.987739
71 7.022594
72 7.006822
90 6.931263
92 7.001135
96 7.02051
97 6.883775
98 6.885412
99 6.898403
100 6.864652
101 6.875353
102 6.916797
103 6.911427
104 6.932546
105 6.920696
114 6.862839
115 6.887234
116 6.952884
117 6.815254
123 6.89543
126 6.746858
133 6.994153
134 6.944903
135 7.001831
136 6.928292
137 6.952613
138 6.96139
139 6.903613
143 6.881595
150 6.935588
151 6.957957
152 6.914781
153 6.912723
154 6.998904
155 6.941074
156 6.959659
157 6.998792
158 7.03399
159 7.023789
160 7.025302
166 6.936543
167 6.993322
168 6.939869
169 6.85954
170 6.99291
171 6.947767
172 6.933278
173 6.94169
174 6.893482
175 6.896161
176 6.948189
177 6.793178
190 6.976913
191 7.046167
192 7.011725
193 6.974078
201 6.551671
202 6.767831
203 6.865013
204 6.816489
205 6.88966
206 6.709737
207 6.140508
208 6.69094
209 6.912952
210 6.980266
211 7.053438
212 6.551509
213 7.071276
214 6.791703
215 7.074095
216 6.949226
217 6.770289
218 7.038527
219 7.080782
220 6.938922
221 7.102873
222 7.014627
223 7.137212
224 7.045451
231 6.798471
232 6.806731
233 6.801936
234 6.811155
235 6.823174
236 6.855314
237 6.829557
238 6.865267
239 6.843934
240 6.883009
241 6.811251
242 6.795711
243 6.854316
244 6.812906
271 6.882241
272 6.909276
273 6.940982
293 6.837151
294 6.901162
295 6.905578
296 6.909003
297 6.892886
298 6.856791
302 6.79104
303 6.786092
304 6.782439
305 6.793718
306 6.815176
307 6.813612
308 6.797609
309 6.810039
319 6.761975
320 6.766311
321 6.982499
322 6.947806
323 6.750078
324 6.992086
330 6.819846
331 6.423716
338 6.853818
339 6.875029
340 6.771375
341 6.993706
342 6.941999
343 6.986939
344 6.858476
345 6.908442
346 6.847212
347 6.846832
348 6.94994
360 6.818535
362 6.927356
363 7.003502
368 6.879638
369 6.796031
370 6.839025
371 6.825689
372 6.78596
373 6.863957
374 6.845907
375 6.773496
376 6.865071
377 6.809967
378 6.806222
379 6.895364
380 6.969188
381 6.866748
382 6.938872
383 6.96097
384 6.701689
392 6.940854
393 6.897225
395 6.968273
4101 6.688713
4102 6.785873
4111 6.761446
4112 6.736748
4201 6.634981
4202 7.468112
7001 7.309724
7002 7.583702
7011 6.703819
7012 7.302897
7021 5.422685
7022 6.613504
7101 5.755437
7102 5.705083
