"label" "value"
1 6.92963
2 6.748095
3 6.986819
4 6.886539
6 6.903458
7 7.031804
8 7.01206
9 7.074721
10 7.065788
11 7.04242
15 6.91658
16 6.964776
17 6.930425
18 6.932216
19 6.958752
31 6.93702
32 7.02085
44 7.024287
47 6.878371
48 6.884626
49 6.920937
50 6.919411
55 6.883773
56 6.892286
60 6.884541
64 6.977496
65 6.97159
66 6.999584
67 6.95821
68 6.92277
75 6.931304
76 6.918759
77 6.980793
78 7.021826
79 7.019364
83 6.920386
84 6.873591
85 6.97777
86 6.921278
87 6.908539
88 6.890863
89 6.960693
90 6.785009
96 7.006409
100 6.840287
101 6.672037
102 6.649476
103 6.784712
104 6.829582
105 6.937493
106 6.931754
107 6.690258
108 7.056723
109 7.089545
110 6.946849
111 7.01847
116 6.802889
117 6.824785
118 6.835155
119 6.874197
120 6.795908
121 6.812783
135 6.885553
136 6.946743
147 6.826937
148 6.905272
149 6.895205
152 6.791219
153 6.793535
154 6.816429
155 6.800906
159 6.893385
160 6.767145
161 6.994539
168 6.872433
169 6.770318
170 6.928379
171 6.981496
172 6.901257
186 6.868234
187 6.813543
188 6.832084
189 6.838885
190 6.808458
191 6.869792
192 6.867905
193 6.709424
198 6.928749
4101 6.688713
4102 6.785873
4111 6.761709
4112 6.712141
4201 6.634981
4202 7.468112
7001 7.309756
7002 7.583702
7011 6.703819
7012 7.302516
7021 5.422685
7022 6.613504
7101 5.755437
7102 5.705083
