"label" "value"
1 7.079115
2 6.59783
3 7.120346
4 6.55052
6 7.346812
7 6.383943
8 7.131512
9 6.696732
10 6.617375
11 6.947862
15 7.410236
16 7.10342
17 7.124702
18 7.32977
19 7.01557
31 7.375903
32 7.344865
44 7.200011
47 7.668349
48 7.625025
49 7.704056
50 7.562124
55 7.676608
56 7.608784
60 7.798155
64 7.465626
65 7.378833
66 7.338558
67 7.408767
68 7.223995
75 7.509549
76 7.487637
77 7.374516
78 7.236617
79 7.192448
83 7.752536
84 7.704043
85 7.433672
86 7.475528
87 7.365164
88 7.843875
89 7.602858
90 7.870801
96 7.232269
100 7.629196
101 7.336307
102 7.262342
103 6.794815
104 6.631755
105 6.972304
106 6.384094
107 7.049361
108 6.746319
109 6.484957
110 6.839187
111 6.970363
116 7.25522
117 7.223056
118 7.421788
119 7.108712
120 7.367422
121 7.192141
135 7.22225
136 7.137362
147 7.432288
148 7.135414
149 7.1789
152 7.774708
153 7.570269
154 7.50807
155 7.642569
159 7.577725
160 7.566565
161 7.583902
168 7.352789
169 7.551496
170 7.394766
171 7.35818
172 7.30559
186 7.616771
187 7.52806
188 7.370996
189 7.198853
190 7.312048
191 7.629333
192 7.800614
193 7.851946
198 7.037331
4101 8.124679
4102 7.582624
4111 7.690227
4112 7.703911
4201 8.013495
4202 7.845963
7001 5.870958
7002 5.703188
7011 6.075558
7012 7.124268
7021 6.69744
7022 6.488442
7101 7.442716
7102 7.185064
