"label" "value"
1 7.347786
2 7.648509
3 7.001309
4 7.049496
5 6.709088
6 6.550391
7 7.490951
8 7.120109
9 6.249544
10 6.682995
11 6.361014
13 7.382659
14 6.833079
15 6.436621
16 6.976732
17 7.083028
18 6.362866
19 6.700835
20 7.279678
21 6.485215
22 6.778768
23 6.979653
26 6.87043
32 7.319231
33 7.123874
34 7.106376
35 7.429218
36 7.034661
37 7.162245
38 7.011332
39 7.145133
40 7.360029
41 6.993801
42 7.052846
43 7.260679
69 7.484826
70 7.351021
71 7.330133
72 7.188727
90 7.448269
92 7.140081
96 7.248596
97 7.758804
98 7.754198
99 7.567606
100 7.492919
101 7.636539
102 7.801032
103 7.677407
104 7.517442
105 7.540588
114 7.687393
115 7.660466
116 7.532823
117 7.684034
123 7.670189
126 7.730432
133 7.388468
134 7.354248
135 7.338501
136 7.203868
137 7.299995
138 7.40449
139 7.186342
143 7.790737
150 7.492757
151 7.542216
152 7.483823
153 7.624674
154 7.371312
155 7.409746
156 7.297119
157 7.249258
158 7.209049
159 7.236268
160 7.177236
166 7.753861
167 7.405626
168 7.555957
169 7.720378
170 7.478203
171 7.413651
172 7.350278
173 7.557199
174 7.838581
175 7.376905
176 7.429572
177 7.904554
190 7.256756
191 7.195569
192 7.312755
193 7.334177
201 7.227671
202 7.467418
203 7.179713
204 6.823465
205 7.120787
206 6.58136
207 6.793447
208 6.367864
209 7.02794
210 6.839648
211 6.581635
212 6.582946
213 6.709033
214 7.192481
215 6.40368
216 7.067802
217 7.124932
218 6.80591
219 6.506452
220 6.854057
221 6.659339
222 7.000784
223 6.513687
224 6.828274
231 7.57537
232 7.318653
233 7.239267
234 7.344464
235 7.548523
236 7.310719
237 7.152517
238 7.204776
239 7.339504
240 7.115797
241 7.292566
242 7.371824
243 7.094411
244 7.158147
271 7.322522
272 7.12877
273 7.157852
293 7.411291
294 7.146454
295 7.067827
296 7.215243
297 7.141756
298 7.108123
302 7.783125
303 7.669278
304 7.55671
305 7.683556
306 7.522975
307 7.735913
308 7.579419
309 7.506184
319 7.585669
320 7.599809
321 7.578849
322 7.520761
323 7.642184
324 7.644087
330 7.535946
331 7.382281
338 7.519765
339 7.342371
340 7.547766
341 7.508669
342 7.332406
343 7.396668
344 7.260939
345 7.320607
346 7.265821
347 7.361205
348 7.500075
360 7.750217
362 7.176641
363 7.236301
368 7.659407
369 7.638715
370 7.621883
371 7.416024
372 7.35969
373 7.256858
374 7.185671
375 7.533901
376 7.350349
377 7.287131
378 7.341003
379 7.637557
380 7.526307
381 7.813994
382 7.689547
383 7.475172
384 7.823952
392 7.037907
393 7.258818
395 7.196254
4101 8.124679
4102 7.582624
4111 7.689296
4112 7.722654
4201 8.013495
4202 7.845963
7001 5.869421
7002 5.703188
7011 6.075558
7012 7.125696
7021 6.69744
7022 6.488442
7101 7.442716
7102 7.185064
