RH4001,RH4002
7Networks_RH_Cont_Par_3,4.276813
7Networks_RH_Cont_Par_4,1.769413
7Networks_RH_Cont_Par_5,3.606434
7Networks_RH_Cont_Par_6,4.597632
7Networks_RH_Cont_Temp_1,4.935086
7Networks_RH_Cont_Temp_2,4.344591
7Networks_RH_Cont_PFCv_1,2.230952
7Networks_RH_Cont_PFCl_1,3.847013
7Networks_RH_Cont_PFCl_2,5.089592
7Networks_RH_Cont_PFCl_3,4.931653
7Networks_RH_Cont_PFCl_4,-0.07035246
7Networks_RH_Cont_PFCl_5,1.850185
7Networks_RH_Cont_PFCl_6,2.200365
7Networks_RH_Cont_PFCl_7,0.808787
7Networks_RH_Cont_PFCl_8,2.247607
7Networks_RH_Cont_PFCl_9,4.210125
7Networks_RH_Cont_PFCl_10,3.413113
7Networks_RH_Cont_PFCl_11,2.755066
7Networks_RH_Cont_PFCl_12,6.094523
7Networks_RH_Cont_PFCl_13,4.002023
7Networks_RH_Cont_PFCl_14,4.972795
7Networks_RH_Cont_PFCl_15,-0.4693236
7Networks_RH_Cont_pCun_1,1.640098
7Networks_RH_Cont_pCun_2,3.74657
7Networks_RH_Cont_Cing_1,0.6817646
7Networks_RH_Cont_Cing_2,0.8727869
7Networks_RH_Cont_PFCmp_1,1.859099
7Networks_RH_Cont_PFCmp_2,3.778775
7Networks_RH_Default_Par_1,2.059177
7Networks_RH_Default_Par_2,1.00579
7Networks_RH_Default_Par_3,6.266129
7Networks_RH_Default_Par_4,4.585605
7Networks_RH_Default_Par_5,6.058405
7Networks_RH_Default_Temp_1,5.808
7Networks_RH_Default_Temp_2,6.508178
7Networks_RH_Default_Temp_3,1.512541
7Networks_RH_Default_Temp_4,2.678068
7Networks_RH_Default_Temp_5,5.919634
7Networks_RH_Default_Temp_6,1.334489
7Networks_RH_Default_Temp_7,5.922586
7Networks_RH_Default_Temp_8,0.7273208
7Networks_RH_Default_PFCv_1,5.311384
7Networks_RH_Default_PFCv_2,4.31028
7Networks_RH_Default_PFCv_3,4.004495
7Networks_RH_Default_PFCv_4,3.863575
7Networks_RH_Default_PFCdPFCm_1,5.019723
7Networks_RH_Default_PFCdPFCm_2,6.193804
7Networks_RH_Default_PFCdPFCm_3,3.361822
7Networks_RH_Default_PFCdPFCm_4,6.00698
7Networks_RH_Default_PFCdPFCm_5,6.326225
7Networks_RH_Default_PFCdPFCm_6,-0.1319619
7Networks_RH_Default_PFCdPFCm_7,6.295485
7Networks_RH_Default_PFCdPFCm_8,6.250679
7Networks_RH_Default_PFCdPFCm_9,5.833741
7Networks_RH_Default_PFCdPFCm_10,4.482807
7Networks_RH_Default_PFCdPFCm_11,6.548409
7Networks_RH_Default_PFCdPFCm_12,5.05495
7Networks_RH_Default_PFCdPFCm_13,3.474152
7Networks_RH_Default_pCunPCC_1,2.455193
7Networks_RH_Default_pCunPCC_2,1.501236
7Networks_RH_Default_pCunPCC_3,1.511598
7Networks_RH_Default_pCunPCC_4,5.970565
7Networks_RH_Default_pCunPCC_5,5.699663
7Networks_RH_Default_pCunPCC_6,5.150222
7Networks_RH_Default_pCunPCC_7,3.111191
7Networks_RH_Default_pCunPCC_8,5.8138
7Networks_RH_Default_pCunPCC_9,0.2140855
