LH4001,LH4002
7Networks_LH_SalVentAttn_Med_1,-1.674385
7Networks_LH_SalVentAttn_Med_2,-4.027031
7Networks_LH_SalVentAttn_Med_3,-2.865122
7Networks_LH_SalVentAttn_Med_4,-2.461127
7Networks_LH_SalVentAttn_Med_5,-2.584737
7Networks_LH_SalVentAttn_Med_6,-3.177634
7Networks_LH_SalVentAttn_Med_7,-3.427488
7Networks_LH_Limbic_OFC_1,4.10389
7Networks_LH_Limbic_OFC_2,2.677912
7Networks_LH_Limbic_OFC_3,5.590735
7Networks_LH_Limbic_OFC_4,4.299959
7Networks_LH_Limbic_OFC_5,6.128552
7Networks_LH_Limbic_TempPole_1,2.536487
7Networks_LH_Limbic_TempPole_2,1.477063
7Networks_LH_Limbic_TempPole_3,1.009936
7Networks_LH_Limbic_TempPole_4,3.088126
7Networks_LH_Limbic_TempPole_5,1.558992
7Networks_LH_Limbic_TempPole_6,5.442816
7Networks_LH_Limbic_TempPole_7,1.887188
7Networks_LH_Limbic_TempPole_8,3.796379
7Networks_LH_Cont_Par_1,3.750716
7Networks_LH_Cont_Par_2,2.646344
7Networks_LH_Cont_Par_3,5.686177
7Networks_LH_Cont_Par_4,4.793598
7Networks_LH_Cont_Par_5,4.390148
7Networks_LH_Cont_Par_6,2.318644
7Networks_LH_Cont_Temp_1,4.610117
7Networks_LH_Cont_OFC_1,2.362648
7Networks_LH_Cont_PFCl_1,5.740362
7Networks_LH_Cont_PFCl_2,1.895127
7Networks_LH_Cont_PFCl_3,2.837178
7Networks_LH_Cont_PFCl_4,2.87918
7Networks_LH_Cont_PFCl_5,0.5972661
7Networks_LH_Cont_PFCl_6,3.520623
7Networks_LH_Cont_PFCl_7,3.368433
7Networks_LH_Cont_PFCl_8,1.977341
7Networks_LH_Cont_PFCv_1,2.290236
7Networks_LH_Cont_pCun_1,0.9903638
7Networks_LH_Cont_pCun_2,1.125086
7Networks_LH_Cont_Cing_1,0.623385
7Networks_LH_Cont_Cing_2,0.6912984
7Networks_LH_Cont_PFCmp_1,4.460068
7Networks_LH_Default_Temp_1,6.338931
7Networks_LH_Default_Temp_2,6.594961
7Networks_LH_Default_Temp_3,5.049612
7Networks_LH_Default_Temp_4,5.559405
7Networks_LH_Default_Temp_5,-0.8557715
7Networks_LH_Default_Temp_6,6.212537
7Networks_LH_Default_Temp_7,3.826011
7Networks_LH_Default_Temp_8,-1.351596
7Networks_LH_Default_Temp_9,-0.9982017
7Networks_LH_Default_Temp_10,1.791956
7Networks_LH_Default_Par_1,0.1740907
7Networks_LH_Default_Par_2,4.469767
7Networks_LH_Default_Par_3,1.77321
7Networks_LH_Default_Par_4,6.566312
7Networks_LH_Default_Par_5,6.14918
7Networks_LH_Default_Par_6,6.223451
7Networks_LH_Default_Par_7,6.27738
7Networks_LH_Default_PFC_1,5.25174
7Networks_LH_Default_PFC_2,3.715136
7Networks_LH_Default_PFC_3,6.015601
7Networks_LH_Default_PFC_4,4.884793
7Networks_LH_Default_PFC_5,5.858594
7Networks_LH_Default_PFC_6,5.618177
7Networks_LH_Default_PFC_7,3.736935
7Networks_LH_Default_PFC_8,5.516879
7Networks_LH_Default_PFC_9,3.932496
7Networks_LH_Default_PFC_10,5.377934
7Networks_LH_Default_PFC_11,5.946252
7Networks_LH_Default_PFC_12,0.7192388
7Networks_LH_Default_PFC_13,6.335781
7Networks_LH_Default_PFC_14,6.544607
7Networks_LH_Default_PFC_15,4.413866
7Networks_LH_Default_PFC_16,4.274484
7Networks_LH_Default_PFC_17,6.537206
7Networks_LH_Default_PFC_18,6.594044
7Networks_LH_Default_PFC_19,6.245121
7Networks_LH_Default_PFC_20,3.672461
7Networks_LH_Default_PFC_21,5.680156
7Networks_LH_Default_PFC_22,5.215817
7Networks_LH_Default_PFC_23,6.080808
7Networks_LH_Default_PFC_24,1.972026
7Networks_LH_Default_pCunPCC_1,3.541573
7Networks_LH_Default_pCunPCC_2,2.324246
7Networks_LH_Default_pCunPCC_3,5.866454
7Networks_LH_Default_pCunPCC_4,1.130628
7Networks_LH_Default_pCunPCC_5,2.277924
7Networks_LH_Default_pCunPCC_6,6.146229
7Networks_LH_Default_pCunPCC_7,6.297054
7Networks_LH_Default_pCunPCC_8,4.872458
7Networks_LH_Default_pCunPCC_9,3.286803
7Networks_LH_Default_pCunPCC_10,5.252528
7Networks_LH_Default_pCunPCC_11,2.02896
