LH4001,LH4002
Background+FreeSurfer_Defined_Medial_Wall,0.01594044
7Networks_LH_Vis_1,-2.215117
7Networks_LH_Vis_2,1.043671
7Networks_LH_Vis_3,-3.897128
7Networks_LH_Vis_4,-3.991819
7Networks_LH_Vis_5,-4.31015
7Networks_LH_Vis_6,-3.810035
7Networks_LH_Vis_7,0.1859313
7Networks_LH_Vis_8,-3.640596
7Networks_LH_Vis_9,-3.88157
7Networks_LH_Vis_10,-4.431669
7Networks_LH_Vis_11,-4.306997
7Networks_LH_Vis_12,0.6171221
7Networks_LH_Vis_13,-3.551032
7Networks_LH_Vis_14,-3.520006
7Networks_LH_Vis_15,-1.748453
7Networks_LH_Vis_16,-4.024862
7Networks_LH_Vis_17,-4.194069
7Networks_LH_Vis_18,-3.888598
7Networks_LH_Vis_19,-2.989956
7Networks_LH_Vis_20,-0.3837766
7Networks_LH_Vis_21,-4.012585
7Networks_LH_Vis_22,-4.111489
7Networks_LH_Vis_23,-3.900693
7Networks_LH_Vis_24,-4.444852
7Networks_LH_Vis_25,-4.468992
7Networks_LH_Vis_26,-4.316883
7Networks_LH_Vis_27,-4.304557
7Networks_LH_Vis_28,-2.014343
7Networks_LH_Vis_29,-4.466115
7Networks_LH_Vis_30,-4.340219
7Networks_LH_Vis_31,-3.809042
7Networks_LH_SomMot_1,-3.421544
7Networks_LH_SomMot_2,-3.42275
7Networks_LH_SomMot_3,-4.076924
7Networks_LH_SomMot_4,-4.28012
7Networks_LH_SomMot_5,-4.480717
7Networks_LH_SomMot_6,-3.011323
7Networks_LH_SomMot_7,-3.868874
7Networks_LH_SomMot_8,-4.386526
7Networks_LH_SomMot_9,-3.975185
7Networks_LH_SomMot_10,-4.8938
7Networks_LH_SomMot_11,-3.971949
7Networks_LH_SomMot_12,-4.622374
7Networks_LH_SomMot_13,-4.929026
7Networks_LH_SomMot_14,-4.81759
7Networks_LH_SomMot_15,-4.837368
7Networks_LH_SomMot_16,-4.156994
7Networks_LH_SomMot_17,-4.824762
7Networks_LH_SomMot_18,-4.996248
7Networks_LH_SomMot_19,-4.584853
7Networks_LH_SomMot_20,-5.362381
7Networks_LH_SomMot_21,-5.348143
7Networks_LH_SomMot_22,-5.38173
7Networks_LH_SomMot_23,-4.977201
7Networks_LH_SomMot_24,-5.283375
7Networks_LH_SomMot_25,-4.610696
7Networks_LH_SomMot_26,-5.334995
7Networks_LH_SomMot_27,-4.858527
7Networks_LH_SomMot_28,-5.287887
7Networks_LH_SomMot_29,-5.291119
7Networks_LH_SomMot_30,-4.878493
7Networks_LH_SomMot_31,-4.997301
7Networks_LH_SomMot_32,-5.169641
7Networks_LH_SomMot_33,-5.218172
7Networks_LH_SomMot_34,-5.054745
7Networks_LH_SomMot_35,-4.873388
7Networks_LH_SomMot_36,-5.038889
7Networks_LH_SomMot_37,-5.251279
7Networks_LH_DorsAttn_Post_1,-1.355326
7Networks_LH_DorsAttn_Post_2,-0.6307471
7Networks_LH_DorsAttn_Post_3,-1.792467
7Networks_LH_DorsAttn_Post_4,-3.035968
7Networks_LH_DorsAttn_Post_5,-2.438235
7Networks_LH_DorsAttn_Post_6,-1.382376
7Networks_LH_DorsAttn_Post_7,-0.4478936
7Networks_LH_DorsAttn_Post_8,-4.533546
7Networks_LH_DorsAttn_Post_9,0.4737485
7Networks_LH_DorsAttn_Post_10,-1.117372
7Networks_LH_DorsAttn_Post_11,-4.184809
7Networks_LH_DorsAttn_Post_12,-3.509014
7Networks_LH_DorsAttn_Post_13,-1.892295
7Networks_LH_DorsAttn_Post_14,-4.17557
7Networks_LH_DorsAttn_Post_15,-2.262036
7Networks_LH_DorsAttn_Post_16,-3.850296
7Networks_LH_DorsAttn_Post_17,-4.641941
7Networks_LH_DorsAttn_FEF_1,-2.698962
7Networks_LH_DorsAttn_FEF_2,-0.7040752
7Networks_LH_DorsAttn_FEF_3,-3.229501
7Networks_LH_DorsAttn_FEF_4,-1.240582
7Networks_LH_DorsAttn_PrCv_1,-0.842162
7Networks_LH_DorsAttn_PrCv_2,-2.271771
7Networks_LH_SalVentAttn_ParOper_1,-3.032623
7Networks_LH_SalVentAttn_ParOper_2,1.668919
7Networks_LH_SalVentAttn_ParOper_3,-2.965886
7Networks_LH_SalVentAttn_ParOper_4,-1.177501
7Networks_LH_SalVentAttn_TempOcc_1,0.1036723
7Networks_LH_SalVentAttn_FrOperIns_1,-2.22833
7Networks_LH_SalVentAttn_FrOperIns_2,-2.361453
7Networks_LH_SalVentAttn_FrOperIns_3,0.7353944
7Networks_LH_SalVentAttn_FrOperIns_4,-2.831861
7Networks_LH_SalVentAttn_FrOperIns_5,-1.448716
7Networks_LH_SalVentAttn_FrOperIns_6,-2.715541
7Networks_LH_SalVentAttn_FrOperIns_7,-0.07253576
7Networks_LH_SalVentAttn_FrOperIns_8,-3.477942
7Networks_LH_SalVentAttn_FrOperIns_9,0.1546504
7Networks_LH_SalVentAttn_PFCl_1,-0.8872286
