"label" "value"
1 8.283336
2 8.096232
3 8.286243
4 8.098731
6 8.28104
7 8.071579
8 8.257119
9 8.169964
10 8.148075
11 8.226307
15 8.461965
16 8.300326
17 8.297994
18 8.347053
19 8.269676
31 8.39755
32 8.327226
44 8.373961
47 8.631792
48 8.507956
49 8.519769
50 8.389764
55 8.61665
56 8.583217
60 8.73722
64 8.395352
65 8.368183
66 8.369947
67 8.421268
68 8.295569
75 8.46785
76 8.468888
77 8.362417
78 8.340224
79 8.33787
83 8.588662
84 8.673645
85 8.376942
86 8.475521
87 8.28722
88 8.638758
89 8.494077
90 8.632068
96 8.258582
100 8.527577
101 8.303986
102 8.315398
103 8.218571
104 8.144793
105 8.283362
106 8.060412
107 8.223752
108 8.195746
109 8.158778
110 8.270303
111 8.255142
116 8.241645
117 8.220577
118 8.307171
119 8.272573
120 8.178921
121 8.155805
135 8.356906
136 8.346852
147 8.181572
148 8.349031
149 8.333166
152 8.691521
153 8.463625
154 8.423701
155 8.441493
159 8.566297
160 8.552924
161 8.597742
168 8.346118
169 8.528302
170 8.480355
171 8.448365
172 8.347536
186 8.502901
187 8.437734
188 8.306024
189 8.284264
190 8.316935
191 8.618949
192 8.621968
193 8.656805
198 8.270019
4101 8.526873
4102 8.720408
4111 8.752568
4112 8.639359
4201 9.128658
4202 9.616142
7001 8.581049
7002 8.845125
7011 8.434885
7012 9.037337
7021 7.708147
7022 8.481038
7101 6.901659
7102 6.924708
