"label" "value"
1 8.392045
2 8.561528
3 8.239847
4 8.275071
5 8.191012
6 8.015557
7 8.410789
8 8.292115
9 7.93315
10 8.124878
11 8.054517
13 8.306831
14 8.245721
15 8.081933
16 8.204935
17 8.245566
18 8.083459
19 8.177545
20 8.229713
21 8.12778
22 8.17687
23 8.217246
26 8.203852
32 8.406181
33 8.296104
34 8.301008
35 8.399746
36 8.281712
37 8.340642
38 8.314357
39 8.289028
40 8.316246
41 8.256715
42 8.288276
43 8.248315
69 8.468948
70 8.367323
71 8.327643
72 8.274711
90 8.260294
92 8.333925
96 8.341127
97 8.710032
98 8.690373
99 8.459964
100 8.505157
101 8.524616
102 8.570988
103 8.527397
104 8.457294
105 8.351516
114 8.649731
115 8.604477
116 8.509609
117 8.670674
123 8.60919
126 8.583053
133 8.352435
134 8.345783
135 8.370448
136 8.266345
137 8.355725
138 8.426132
139 8.272961
143 8.631129
150 8.451934
151 8.442395
152 8.444358
153 8.585259
154 8.357142
155 8.38658
156 8.370905
157 8.320184
158 8.343432
159 8.365186
160 8.341405
166 8.582839
167 8.390272
168 8.555706
169 8.679711
170 8.411742
171 8.403781
172 8.299337
173 8.492994
174 8.640127
175 8.280134
176 8.465431
177 8.681858
190 8.248698
191 8.272683
192 8.331892
193 8.328943
201 8.227689
202 8.425756
203 8.377487
204 8.238023
205 8.375655
206 8.110121
207 7.957616
208 8.012124
209 8.315568
210 8.246159
211 8.189698
212 8.033106
213 8.195978
214 8.315601
215 8.098049
216 8.315033
217 8.245638
218 8.197612
219 8.165662
220 8.276573
221 8.159404
222 8.265563
223 8.167771
224 8.25538
231 8.46022
232 8.248588
233 8.225518
234 8.327666
235 8.330545
236 8.333382
237 8.205556
238 8.290447
239 8.257527
240 8.301278
241 8.203228
242 8.182394
243 8.209821
244 8.1334
271 8.371659
272 8.338411
273 8.356466
293 8.143444
294 8.342591
295 8.347007
296 8.354385
297 8.292748
298 8.199873
302 8.696024
303 8.549356
304 8.449352
305 8.433798
306 8.426147
307 8.434601
308 8.386091
309 8.259509
319 8.54745
320 8.564567
321 8.582324
322 8.562862
323 8.59971
324 8.617843
330 8.398487
331 8.317691
338 8.390753
339 8.344698
340 8.523953
341 8.563413
342 8.424718
343 8.478335
344 8.304151
345 8.351826
346 8.243937
347 8.199226
348 8.405623
360 8.525181
362 8.379788
363 8.393081
368 8.553261
369 8.604751
370 8.53379
371 8.312893
372 8.305175
373 8.312196
374 8.297307
375 8.541423
376 8.454139
377 8.362902
378 8.278485
379 8.631305
380 8.550976
381 8.626045
382 8.502912
383 8.438914
384 8.633553
392 8.275773
393 8.318542
395 8.321629
4101 8.526873
4102 8.720408
4111 8.757863
4112 8.667673
4201 9.128658
4202 9.616142
7001 8.580697
7002 8.845125
7011 8.434885
7012 9.037289
7021 7.708147
7022 8.481038
7101 6.901659
7102 6.924708
