"label" "value"
1 7.632325
2 8.305335
3 7.041645
4 7.138549
5 6.592728
6 6.195837
7 8.042928
8 7.057821
9 5.913507
10 6.525434
11 6.272736
13 7.814103
14 6.735064
15 6.475377
16 7.135164
17 7.025429
18 6.450668
19 6.619998
20 7.681904
21 6.486159
22 6.793063
23 6.884495
26 6.81245
32 7.756737
33 7.456636
34 7.713287
35 8.110064
36 7.581459
37 7.522209
38 7.519335
39 7.575403
40 7.565388
41 7.476877
42 7.338148
43 7.40124
69 7.811273
70 7.547434
71 7.529097
72 7.246541
90 7.634191
92 7.539563
96 7.528679
97 8.334253
98 8.486453
99 8.230646
100 8.133053
101 8.238181
102 8.398005
103 8.221035
104 7.898194
105 7.758845
114 8.389244
115 8.30096
116 7.952169
117 8.505722
123 8.233196
126 8.637635
133 7.719296
134 7.720641
135 7.659444
136 7.63551
137 7.591032
138 7.626871
139 7.551454
143 8.575835
150 7.912443
151 7.902821
152 7.909283
153 8.11667
154 7.679434
155 7.747673
156 7.618821
157 7.507087
158 7.667498
159 7.531454
160 7.321135
166 8.358219
167 7.900061
168 7.935491
169 8.393698
170 7.978034
171 7.684849
172 7.843576
173 7.984585
174 8.403515
175 7.723281
176 7.669804
177 8.384049
190 7.587386
191 7.401738
192 7.573079
193 7.402315
201 7.571546
202 8.071286
203 7.643248
204 7.052074
205 7.548218
206 6.64243
207 6.816894
208 6.173507
209 7.358653
210 7.051469
211 6.691359
212 6.47783
213 6.689067
214 7.593169
215 6.45292
216 7.238607
217 7.419164
218 6.863362
219 6.563181
220 6.965414
221 6.572901
222 7.194097
223 6.443156
224 6.993519
231 8.088398
232 7.761354
233 7.681208
234 7.815011
235 7.973567
236 7.695697
237 7.528396
238 7.603614
239 7.675235
240 7.416361
241 7.710551
242 7.754264
243 7.405221
244 7.513014
271 7.829658
272 7.551823
273 7.345964
293 7.61051
294 7.510715
295 7.38559
296 7.5191
297 7.462227
298 7.441364
302 8.376459
303 8.298533
304 8.145353
305 8.234949
306 8.004164
307 8.194722
308 8.0788
309 7.862149
319 8.165308
320 8.199405
321 8.066051
322 8.017444
323 8.342372
324 8.006775
330 8.061285
331 7.978617
338 8.037366
339 7.894204
340 8.193821
341 7.96065
342 7.808082
343 7.798158
344 7.559448
345 7.597591
346 7.518325
347 7.589063
348 7.785039
360 8.228398
362 7.438559
363 7.488149
368 8.13302
369 8.194942
370 8.082667
371 7.922488
372 7.813153
373 7.785973
374 7.62725
375 8.154734
376 7.885579
377 7.761896
378 7.702733
379 8.20939
380 7.937475
381 8.393598
382 8.157084
383 7.75913
384 8.328454
392 7.260619
393 7.336366
395 7.400612
4101 8.465401
4102 8.432707
4111 8.659478
4112 8.480526
4201 8.076653
4202 8.591525
7001 7.858109
7002 7.987447
7011 7.118532
7012 8.449419
7021 5.37345
7022 7.153996
7101 6.726655
7102 6.524841
